brand,model_year,fuel_type,transmission,ext_col,accident,Country_of_Origin,Engine_CC,Mileage_KM,Price_USD,base_model
Mercedes-Benz,2014,Gasoline,Automatic,White,Clean,Germany,4700.0,205191,29000.0,Sl-Class Sl
Ford,2021,Gasoline,Automatic,Gray,Clean,USA,3500.0,38370,59203.0,Expedition
BMW,2014,Gasoline,Automatic,Black,Clean,Germany,4400.0,105492,39985.0,M6
Ford,2022,Gasoline,Automatic,Gray,Accident Reported,USA,2700.0,25106,68995.0,Bronco Wildtrak
Lexus,2021,Gasoline,Automatic,White,Clean,Japan,5000.0,36049,81900.0,Lc 500
Lexus,2015,Gasoline,Automatic,White,Clean,Japan,4600.0,143473,31900.0,Ls 460
BMW,2023,Gasoline,Automatic,Blue,Clean,Germany,3000.0,24140,81000.0,M4
Audi,2018,Gasoline,Automatic,Blue,Clean,Germany,2000.0,79662,25000.0,A3 Tech
Volkswagen,2015,Gasoline,Manual,Gray,Clean,Germany,2000.0,137413,15550.0,Golf Gti
Hyundai,2018,Gasoline,Automatic,Other,Clean,South Korea,2000.0,106419,19190.0,Tucson
Toyota,2023,Gasoline,Manual,White,Clean,Japan,2400.0,1730,35000.0,Gr86
Hyundai,2021,Gasoline,Automatic,Black,Clean,South Korea,2500.0,40234,28500.0,Santa Fe
Nissan,2017,Gasoline,Automatic,Black,Clean,Japan,5600.0,148059,20900.0,Armada Platinum
Lexus,2008,Gasoline,Automatic,White,Accident Reported,Japan,4700.0,198753,14500.0,Gx 470
Cadillac,2013,Gasoline,Automatic,Black,Accident Reported,USA,3600.0,168981,12000.0,Cts
Audi,2008,Gasoline,Manual,Black,Clean,Germany,4200.0,78858,63000.0,R8
Jaguar,2020,Gasoline,Automatic,Black,Clean,UK,3000.0,45636,47598.0,F-Pace S
Chevrolet,2018,Flex Fuel,Automatic,Red,Clean,USA,4300.0,130357,32000.0,Silverado 1500
Ford,2021,Gasoline,Automatic,Gray,Clean,USA,3500.0,72420,52000.0,Expedition
Toyota,2011,Flex Fuel,Automatic,Black,Accident Reported,Japan,5700.0,279150,16000.0,Sequoia Platinum
Audi,2019,Hybrid,Automatic,Silver,Clean,Germany,3000.0,150312,42500.0,A8 L
Toyota,2015,Gasoline,Automatic,White,Clean,Japan,3500.0,144841,18200.0,Avalon
Porsche,2017,Gasoline,Automatic,Gray,Clean,Germany,2000.0,65339,32000.0,Macan
Lexus,2023,Gasoline,Automatic,Gray,Clean,Japan,3500.0,32382,47124.0,Is 350
Lexus,2011,Gasoline,Automatic,Silver,Accident Reported,Japan,3500.0,301671,10400.0,Rx 350
Toyota,2021,Gasoline,Automatic,Gray,Clean,Japan,3000.0,10300,68000.0,Supra A91
Mercedes-Benz,2017,Gasoline,Automatic,White,Clean,Germany,3000.0,87709,37995.0,Amg C
BMW,2017,Gasoline,Automatic,Red,Accident Reported,Germany,4400.0,126333,42000.0,X6 Xdrive50I
Chevrolet,2018,Gasoline,Automatic,Silver,Clean,USA,5300.0,120700,36000.0,Tahoe Lt
Ford,2014,Gasoline,Automatic,Red,Accident Reported,USA,6200.0,144821,42500.0,F-150 Svt
Subaru,2005,Gasoline,Automatic,Gold,Clean,Japan,3000.0,172199,7100.0,Outback 3.0
Alfa,2019,Gasoline,Automatic,White,Clean,Italy,2000.0,34440,28500.0,Romeo Giulia
Mazda,2007,Gasoline,Automatic,White,Clean,Japan,2300.0,133817,6950.0,Cx-7 Grand
Ford,2018,Diesel,Automatic,Black,Accident Reported,USA,3000.0,148059,36500.0,F-150 Platinum
Mercedes-Benz,2021,Gasoline,Automatic,Other,Clean,Germany,2000.0,24208,54599.0,Gle 350
Audi,2017,Gasoline,Automatic,Black,Accident Reported,Germany,3000.0,62764,35000.0,A7 3.0T
RAM,2017,Gasoline,Automatic,Brown,Accident Reported,USA,6400.0,108603,46500.0,2500 Laramie
Audi,2017,Gasoline,Automatic,Black,Clean,Germany,4000.0,87387,53500.0,S8 4.0T
Hyundai,2022,Hybrid,Automatic,Gray,Clean,South Korea,2000.0,49189,29000.0,Sonata Hybrid
Audi,2016,Gasoline,Automatic,Black,Accident Reported,Germany,4000.0,229598,22000.0,A8 L
Ford,2009,Gasoline,Automatic,Blue,Accident Reported,USA,4000.0,267472,6999.0,Ranger Supercab
Infiniti,2015,Hybrid,Automatic,Gray,Accident Reported,Japan,3500.0,143194,19977.0,Q50 Hybrid
BMW,2011,Gasoline,Automatic,White,Clean,Germany,4000.0,184897,20990.0,M3
Mercedes-Benz,2009,Gasoline,Automatic,Black,Accident Reported,Germany,3500.0,275197,4750.0,E-Class E
Ford,2019,Gasoline,Automatic,Black,Clean,USA,3500.0,144948,28590.0,Explorer
Chevrolet,2014,Gasoline,Automatic,Black,Accident Reported,USA,3600.0,157038,15000.0,Camaro 1Lt
Mazda,2017,Gasoline,Manual,Black,Accident Reported,Japan,2000.0,83686,20500.0,Mx-5 Miata
Jeep,2021,Gasoline,Automatic,Other,Clean,USA,3600.0,41791,38405.0,Grand Cherokee
MINI,2016,Gasoline,Automatic,Silver,Clean,UK,2000.0,67077,17495.0,Hardtop Cooper
Saab,2002,Gasoline,Manual,Black,Clean,Sweden,2000.0,124241,7500.0,9-3
BMW,2019,Gasoline,Automatic,Blue,Clean,Germany,3000.0,80467,43000.0,X5 Xdrive40I
Porsche,2021,Gasoline,Automatic,White,Clean,Germany,2000.0,34783,58998.0,Macan
Audi,2022,Gasoline,Automatic,Other,Clean,Germany,2000.0,27966,39998.0,Q3 S
Audi,2005,Gasoline,Manual,Blue,Accident Reported,Germany,2700.0,246229,6500.0,Allroad 2.7T
Mercury,2004,Gasoline,Automatic,Silver,Clean,USA,4600.0,91089,23000.0,Marauder
Hyundai,2015,Gasoline,Automatic,White,Accident Reported,South Korea,3800.0,187668,12700.0,Genesis 3.8
Audi,2018,Gasoline,Automatic,Blue,Accident Reported,Germany,3000.0,115872,30000.0,Sq5 3.0T
Audi,2019,Hybrid,Automatic,Black,Clean,Germany,3000.0,62764,50000.0,A8 L
Lincoln,2008,Gasoline,Automatic,Gold,Clean,USA,5400.0,239792,10099.0,Navigator
BMW,2018,Gasoline,Manual,White,Clean,Germany,3000.0,31060,64000.0,M4
Mazda,2021,Gasoline,Automatic,Gray,Clean,Japan,2500.0,44798,36969.0,Cx-9 Carbon
Chevrolet,2023,Gasoline,Automatic,Black,Clean,USA,6200.0,5267,78999.0,Corvette Stingray
Ford,2017,Gasoline,Automatic,White,Clean,USA,3500.0,119653,36000.0,F-150 Lariat
Ford,2019,Diesel,Automatic,White,Accident Reported,USA,6700.0,136794,55000.0,F-250 Lariat
Mercedes-Benz,2017,Gasoline,Automatic,Black,Accident Reported,Germany,3000.0,74191,33000.0,Gls 450
Hyundai,2019,Gasoline,Automatic,Silver,Clean,South Korea,2400.0,79662,28000.0,Santa Fe
Mercedes-Benz,2012,Gasoline,Automatic,Black,Clean,Germany,3500.0,50099,23500.0,E-Class E
Ford,2008,Diesel,Automatic,Blue,Accident Reported,USA,6400.0,240532,12240.0,F-250 Xlt
Mercury,2003,Gasoline,Automatic,Blue,Accident Reported,USA,4600.0,144841,15500.0,Marauder
Ford,2021,Flex Fuel,Automatic,White,Clean,USA,3500.0,77248,57000.0,Transit-350 Xlt
Mercedes-Benz,2013,Gasoline,Automatic,White,Accident Reported,Germany,3500.0,157715,15500.0,C-Class C
Volkswagen,2022,Gasoline,Automatic,Other,Clean,Germany,2000.0,30022,38698.0,Arteon R-Line
Chevrolet,2006,Gasoline,Automatic,Brown,Accident Reported,USA,8100.0,96560,24950.0,Suburban 2500
Chevrolet,2014,Flex Fuel,Automatic,Purple,Clean,USA,5300.0,272783,15000.0,Suburban 1500
Mitsubishi,2008,Gasoline,Manual,Red,Clean,Japan,2400.0,304970,6000.0,Eclipse Gs
Toyota,2016,Gasoline,Automatic,Black,Clean,Japan,5700.0,146450,68500.0,Land Cruiser
Genesis,2022,Gasoline,Automatic,Other,Clean,South Korea,2500.0,11903,41299.0,G80 2.5T
Toyota,2004,Gasoline,Automatic,Gray,Clean,Japan,4700.0,369263,8250.0,Tundra Sr5
Audi,2014,Gasoline,Automatic,White,Accident Reported,Germany,4200.0,79015,44900.0,Rs 5
Nissan,2022,Gasoline,Automatic,Gray,Clean,Japan,1500.0,34137,28906.0,Rogue S
Porsche,2010,Gasoline,Automatic,Silver,Clean,Germany,4800.0,100975,28600.0,Panamera 4S
BMW,2021,Hybrid,Automatic,Gray,Clean,Germany,3000.0,39107,49999.0,M440 I
Cadillac,2010,Flex Fuel,Automatic,Gray,Clean,USA,6200.0,167371,19500.0,Escalade
Volvo,2020,Gasoline,Automatic,White,Accident Reported,Sweden,2000.0,74432,27800.0,S60 T6
Mazda,2023,Gasoline,Automatic,Black,Accident Reported,Japan,2500.0,3106,40655.0,Cx-9 Touring
Chrysler,2022,Hybrid,Automatic,White,Clean,USA,3600.0,98965,35850.0,Pacifica Hybrid
Jeep,2020,Gasoline,Automatic,Black,Clean,USA,2000.0,38689,35273.0,Wrangler Unlimited
Toyota,2001,Gasoline,Automatic,Beige,Clean,Japan,3000.0,372693,4300.0,Highlander
Ford,2019,Gasoline,Automatic,Gray,Clean,USA,3500.0,130357,38500.0,F-150 Lariat
Land,2022,Gasoline,Automatic,Other,Clean,UK,2000.0,37929,44998.0,Rover Discovery
Mazda,2020,Gasoline,Automatic,White,Clean,Japan,2500.0,126655,18000.0,Mazda6 Touring
Kia,2015,Gasoline,Automatic,Red,Accident Reported,South Korea,2400.0,176351,11900.0,Optima Ex
Lexus,2009,Gasoline,Automatic,Gray,Accident Reported,Japan,3500.0,286463,4500.0,Rx 350
Mitsubishi,2016,Gasoline,Automatic,Black,Clean,Japan,2400.0,211134,11970.0,Outlander 2.4
Mercedes-Benz,2017,Gasoline,Automatic,White,Clean,Germany,3000.0,170590,25900.0,Gls 450
Audi,2019,Gasoline,Automatic,Gray,Accident Reported,Germany,2000.0,45401,27500.0,A3
Audi,2015,Flex Fuel,Automatic,Silver,Clean,Germany,2000.0,147099,14998.0,A4
Mercedes-Benz,2016,Gasoline,Automatic,Black,Accident Reported,Germany,2000.0,142588,16800.0,Cla-Class Cla
Kia,2021,Gasoline,Automatic,White,Clean,South Korea,1600.0,17951,28998.0,K5 Ex
BMW,2018,Plug-In Hybrid,Automatic,Gray,Accident Reported,Germany,2000.0,72565,30750.0,X5 Edrive
Mercedes-Benz,2003,Gasoline,Automatic,Red,Accident Reported,Germany,2300.0,53546,11900.0,Slk-Class Slk230
Jeep,2003,Gasoline,Manual,Red,Clean,USA,2400.0,114263,12499.0,Wrangler
Land,2012,Gasoline,Automatic,Black,Clean,UK,5000.0,227762,14490.0,Rover Lr4
Jaguar,2007,Gasoline,Automatic,Black,Accident Reported,UK,4200.0,80467,21900.0,Xkr
BMW,2020,Gasoline,Manual,Orange,Clean,Germany,3000.0,46896,71995.0,M4
BMW,2022,Hybrid,Automatic,White,Clean,Germany,3000.0,14484,56900.0,M340 I
Mercedes-Benz,2021,Hybrid,Automatic,Other,Clean,Germany,3000.0,9004,83598.0,Amg Gle
RAM,2022,Gasoline,Automatic,Gray,Clean,USA,5700.0,54912,48190.0,1500 Laramie
BMW,2013,Gasoline,Automatic,Black,Clean,Germany,4400.0,59143,35999.0,Alpina B7
Mercedes-Benz,2007,Gasoline,Automatic,White,Clean,Germany,3000.0,79865,12000.0,C-Class C280
Jeep,2017,Gasoline,Automatic,White,Accident Reported,USA,2400.0,72420,16500.0,Compass High
Toyota,2019,Hybrid,Automatic,Black,Clean,Japan,3500.0,111608,36000.0,Highlander Hybrid
BMW,2023,Gasoline,Manual,Other,Clean,Germany,3000.0,6608,84645.0,M3
BMW,1999,Gasoline,Manual,Blue,Clean,Germany,3200.0,297245,36950.0,M3
Maserati,2018,Gasoline,Automatic,White,Clean,Italy,3000.0,92537,41900.0,Quattroporte S
Acura,2021,Gasoline,Automatic,Black,Clean,Japan,2000.0,46671,39650.0,Rdx Advance
Mercedes-Benz,2015,Gasoline,Automatic,Gray,Accident Reported,Germany,2000.0,99256,19000.0,Gla-Class Gla
Mercedes-Benz,2021,Diesel,Automatic,White,Clean,Germany,3000.0,53591,45000.0,Sprinter 3500Xd
Cadillac,2014,Gasoline,Automatic,Silver,Accident Reported,USA,3600.0,101308,17498.0,Xts Luxury
Chevrolet,2015,Gasoline,Automatic,Silver,Clean,USA,3600.0,91209,19750.0,Camaro 2Lt
Porsche,2013,Gasoline,Automatic,Green,Clean,Germany,4800.0,148059,23000.0,Cayenne S
Dodge,2005,Gasoline,Automatic,Gray,Accident Reported,USA,5700.0,154497,12000.0,Magnum R/T
Infiniti,2014,Gasoline,Automatic,Black,Clean,Japan,3700.0,53913,23000.0,Q70 3.7X
Toyota,2007,Hybrid,Automatic,Silver,Accident Reported,Japan,2400.0,85696,9250.0,Camry Hybrid
GMC,2016,Gasoline,Automatic,Gold,Clean,USA,3600.0,191511,12500.0,Acadia Slt-1
Lincoln,2021,Gasoline,Automatic,Black,Clean,USA,2000.0,47212,36999.0,Corsair Reserve
RAM,2017,Diesel,Automatic,Gray,Accident Reported,USA,6700.0,138403,41000.0,2500 Slt
RAM,2014,Diesel,Automatic,Black,Accident Reported,USA,6700.0,284853,40500.0,3500 Laramie
Mercedes-Benz,2013,Gasoline,Automatic,Black,Accident Reported,Germany,4600.0,150473,15900.0,Gl-Class Gl
BMW,2018,Gasoline,Automatic,Red,Accident Reported,Germany,4400.0,76766,54999.0,M5
Acura,2022,Gasoline,Automatic,Gray,Clean,Japan,2400.0,25943,26599.0,Ilx Package
Buick,2005,Gasoline,Automatic,White,Accident Reported,USA,4200.0,237521,2800.0,Rainier Cxl
Cadillac,2013,Flex Fuel,Automatic,Black,Accident Reported,USA,6200.0,153805,22000.0,Escalade Luxury
Mercedes-Benz,2018,Gasoline,Automatic,Gray,Clean,Germany,4000.0,73693,52000.0,S-Class S
Infiniti,2016,Gasoline,Automatic,Silver,Accident Reported,Japan,5600.0,96560,25950.0,Qx80
Buick,2019,Gasoline,Automatic,White,Clean,USA,1400.0,80467,18795.0,Encore Preferred
Mercedes-Benz,2019,Gasoline,Automatic,Black,Clean,Germany,3000.0,53882,43999.0,Gls 450
Jeep,2010,Gasoline,Automatic,Gray,Clean,USA,3700.0,172199,5900.0,Liberty
Mercedes-Benz,2011,Gasoline,Automatic,White,Accident Reported,Germany,5500.0,96560,37000.0,S-Class S
Audi,2016,Gasoline,Automatic,White,Clean,Germany,3000.0,88514,28000.0,A8 L
Mazda,2022,Gasoline,Automatic,Black,Clean,Japan,2500.0,6444,25500.0,Cx-30 2.5
Volkswagen,2016,Gasoline,Manual,Blue,Clean,Germany,2000.0,75871,29950.0,Golf R
Hyundai,2011,Gasoline,Automatic,Gray,Accident Reported,South Korea,3800.0,266272,4000.0,Genesis Coupe
Ford,2018,Gasoline,Automatic,White,Accident Reported,USA,3500.0,157715,25500.0,F-150 Xlt
Hyundai,2020,Gasoline,Automatic,Other,Clean,South Korea,2400.0,64234,22749.0,Tucson
Ford,2013,Gasoline,Automatic,Blue,Accident Reported,USA,3700.0,236880,12990.0,Mustang
BMW,2014,Gasoline,Automatic,Silver,Clean,Germany,3000.0,86261,25980.0,435 I
Porsche,2013,Gasoline,Automatic,Brown,Clean,Germany,2700.0,65661,35500.0,Boxster
Porsche,2018,Gasoline,Automatic,Other,Accident Reported,Germany,2000.0,59220,49500.0,Macan
Ford,2010,Gasoline,Automatic,Red,Accident Reported,USA,4600.0,140817,14900.0,Mustang Gt
Chevrolet,2020,Gasoline,Automatic,Black,Clean,USA,5300.0,149669,38500.0,Suburban Lt
Mercedes-Benz,2018,Gasoline,Automatic,Black,Clean,Germany,2000.0,66812,28251.0,C-Class C
RAM,2019,Flex Fuel,Automatic,Black,Accident Reported,USA,3600.0,30577,33242.0,1500 Classic
Toyota,2023,Hybrid,Automatic,Green,Accident Reported,Japan,3400.0,2477,76373.0,Sequoia Sr5
BMW,2018,Gasoline,Automatic,Green,Accident Reported,Germany,4400.0,50034,68000.0,M5
Mazda,2022,Gasoline,Automatic,Red,Clean,Japan,2500.0,34924,25099.0,Mazda3 Fwd
Nissan,2016,Gasoline,Automatic,Gray,Accident Reported,Japan,2500.0,157274,15998.0,Rogue Sl
Audi,2015,Diesel,Automatic,White,Clean,Germany,3000.0,117482,34000.0,A7 3.0T
Genesis,2020,Gasoline,Automatic,Blue,Clean,South Korea,3800.0,37980,31900.0,G80 3.8
BMW,2019,Gasoline,Automatic,Blue,Clean,Germany,4400.0,32991,67900.0,M6 Gran
Ford,2013,Gasoline,Manual,Black,Accident Reported,USA,3700.0,93200,18750.0,Mustang
BMW,2009,Gasoline,Automatic,Black,Clean,Germany,4800.0,56327,18500.0,650 I
Kia,2022,Gasoline,Automatic,Green,Clean,South Korea,3800.0,23619,46787.0,Telluride Ex
Lincoln,2022,Gasoline,Automatic,White,Clean,USA,3500.0,22128,79999.0,Navigator Reserve
Mercedes-Benz,2015,Gasoline,Automatic,Black,Clean,Germany,4700.0,21404,62500.0,S-Class S
Chevrolet,2017,Gasoline,Automatic,Blue,Clean,USA,6000.0,188293,27000.0,Suburban Lt
Audi,2020,Hybrid,Automatic,White,Clean,Germany,3000.0,43613,50000.0,A7 55
Ford,2017,Gasoline,Automatic,White,Accident Reported,USA,2300.0,143798,20989.0,Mustang Ecoboost
Chevrolet,2018,Gasoline,Automatic,White,Accident Reported,USA,1400.0,160934,8500.0,Cruze Ls
Land,2020,Hybrid,Automatic,Silver,Clean,UK,3000.0,25749,75500.0,Rover Range
Land,2023,Gasoline,Automatic,White,Clean,UK,2000.0,24462,62999.0,Rover Defender
BMW,2012,Gasoline,Manual,White,Clean,Germany,4400.0,64309,38995.0,650 I
Ford,2008,Gasoline,Automatic,White,Accident Reported,USA,4000.0,191511,13500.0,Mustang
Kia,2022,Gasoline,Automatic,Other,Clean,South Korea,1600.0,17656,29998.0,K5 Gt-Line
Mazda,2014,Gasoline,Manual,Silver,Accident Reported,Japan,2000.0,190707,11500.0,Mazda3 I
Kia,2021,Gasoline,Automatic,Black,Clean,South Korea,3300.0,13338,45899.0,Stinger Gt1
Chevrolet,2023,Gasoline,Automatic,Red,Clean,USA,6200.0,4748,74500.0,Camaro Zl1
Mercedes-Benz,2017,Gasoline,Automatic,White,Accident Reported,Germany,5500.0,117482,78000.0,Amg G
Ford,2005,Gasoline,Automatic,Gold,Clean,USA,3900.0,131966,14900.0,Thunderbird
GMC,2017,Gasoline,Automatic,White,Clean,USA,6200.0,79027,39750.0,Sierra 1500
Kia,2023,Gasoline,Automatic,Silver,Clean,South Korea,3800.0,8851,40000.0,Telluride Lx
Chevrolet,2005,Gasoline,Manual,Blue,Clean,USA,6000.0,59063,26000.0,Corvette
BMW,2014,Gasoline,Automatic,White,Clean,Germany,4400.0,64374,34000.0,650 I
GMC,2015,Gasoline,Automatic,Gray,Clean,USA,3600.0,120482,19780.0,Acadia Denali
Cadillac,2021,Gasoline,Automatic,Black,Clean,USA,6200.0,24703,93500.0,Escalade Luxury
Nissan,2010,Gasoline,Automatic,Blue,Clean,Japan,3800.0,74191,72999.0,Gt-R
Toyota,2018,Gasoline,Automatic,Silver,Clean,Japan,3500.0,98900,31000.0,Highlander
BMW,2020,Gasoline,Automatic,Blue,Clean,Germany,3000.0,72808,54500.0,X7 Xdrive40I
Infiniti,2018,Gasoline,Automatic,Black,Clean,Japan,3500.0,77248,27000.0,Qx60
Lexus,2010,Gasoline,Manual,Black,Clean,Japan,2500.0,110240,18500.0,Is 250C
GMC,2019,Gasoline,Automatic,Black,Clean,USA,5300.0,69898,51899.0,Sierra 1500
Chevrolet,2005,Gasoline,Automatic,Other,Clean,USA,6000.0,197886,20995.0,Ssr
Dodge,2014,Gasoline,Automatic,Gray,Clean,USA,5700.0,149445,19750.0,Challenger R/T
Hyundai,2016,Gasoline,Automatic,White,Clean,South Korea,5000.0,115872,21400.0,Equus Signature
Ford,2003,Gasoline,Automatic,Gray,Clean,USA,4600.0,133575,10500.0,Mustang Gt
Toyota,2023,Hybrid,Automatic,Brown,Clean,Japan,3400.0,13197,78900.0,Sequoia
Jeep,2022,Gasoline,Automatic,Black,Clean,USA,3600.0,20720,42599.0,Grand Cherokee
Maserati,2015,Gasoline,Automatic,Beige,Clean,Italy,4700.0,51499,36000.0,Granturismo
BMW,2013,Gasoline,Automatic,White,Accident Reported,Germany,4400.0,98403,37500.0,M5
Mercedes-Benz,2022,Gasoline,Automatic,Other,Clean,Germany,2000.0,15469,43900.0,C-Class 4Matic
Ford,2011,Gasoline,Automatic,Brown,Clean,USA,3500.0,244620,14000.0,F-150 Lariat
Audi,2012,Gasoline,Automatic,White,Clean,Germany,2000.0,208517,7000.0,A4
BMW,2019,Gasoline,Automatic,Gray,Accident Reported,Germany,3000.0,57936,41995.0,540 I
BMW,2009,Gasoline,Automatic,White,Clean,Germany,3000.0,148072,12500.0,X6 Xdrive35I
Ford,1998,Gasoline,Automatic,White,Clean,USA,3800.0,102837,10300.0,Mustang
Toyota,2012,Gasoline,Automatic,Black,Clean,Japan,5700.0,242849,17500.0,Sequoia
Land,2018,Gasoline,Automatic,White,Clean,UK,5000.0,61187,63998.0,Rover Range
Audi,2021,Hybrid,Automatic,Silver,Clean,Germany,3000.0,23738,61059.0,Q8 55
Subaru,2015,Gasoline,Manual,Gray,Clean,Japan,2000.0,84490,23000.0,Wrx
Chevrolet,2017,Gasoline,Automatic,Black,Accident Reported,USA,5300.0,334052,21000.0,Suburban Lt
Infiniti,2020,Gasoline,Automatic,Gray,Clean,Japan,3500.0,62764,29900.0,Qx60 Pure
Infiniti,2017,Gasoline,Automatic,Black,Clean,Japan,3500.0,150473,16000.0,Qx60
BMW,2018,Gasoline,Automatic,Black,Clean,Germany,3000.0,11587,64000.0,M4
Land,2023,Hybrid,Automatic,Black,Clean,UK,3000.0,13552,90000.0,Rover Defender
BMW,2020,Gasoline,Automatic,Other,Clean,Germany,4400.0,41070,84900.0,M8
Mercedes-Benz,2011,Gasoline,Automatic,Red,Accident Reported,Germany,5500.0,66488,30999.0,Sl-Class Sl
Land,2020,Gasoline,Automatic,White,Accident Reported,UK,5000.0,80304,64500.0,Rover Range
Ford,2012,Flex Fuel,Automatic,Blue,Clean,USA,3000.0,299769,4500.0,Escape Xlt
Lexus,2016,Gasoline,Automatic,Silver,Accident Reported,Japan,3500.0,82615,25995.0,Es 350
RAM,2022,Gasoline,Automatic,White,Clean,USA,5700.0,31183,45861.0,1500 Big
Mitsubishi,2006,Gasoline,Manual,Silver,Clean,Japan,2000.0,123919,57000.0,Lancer Evolution
Acura,2013,Gasoline,Automatic,Blue,Clean,Japan,3500.0,64374,24000.0,Tl Technology
Cadillac,2012,Gasoline,Automatic,White,Clean,USA,3000.0,181855,10000.0,Cts Luxury
Chevrolet,2022,Gasoline,Manual,Gray,Accident Reported,USA,6200.0,12231,46000.0,Camaro 1Ss
Toyota,2022,Hybrid,Automatic,White,Clean,Japan,2500.0,32831,29900.0,Camry Hybrid
Ford,2019,Gasoline,Automatic,White,Clean,USA,3500.0,185074,39000.0,Transit-350 Xlt
Lexus,2012,Hybrid,Automatic,Black,Clean,Japan,3500.0,384632,7000.0,Rx 450H
Jaguar,2014,Gasoline,Automatic,Black,Clean,UK,3000.0,100091,32998.0,F-Type S
Jeep,2020,Gasoline,Automatic,Black,Clean,USA,3600.0,35628,38598.0,Wrangler Sahara
Porsche,2017,Gasoline,Automatic,Blue,Clean,Germany,2500.0,78697,62500.0,718 Boxster
Lincoln,2016,Gasoline,Automatic,Silver,Accident Reported,USA,3700.0,109757,16750.0,Mkz
Chevrolet,2001,Gasoline,Automatic,Red,Clean,USA,4300.0,223698,7000.0,S-10 Ls
Lexus,2022,Gasoline,Automatic,Black,Clean,Japan,3500.0,23062,54998.0,Rx 350
BMW,2019,Gasoline,Automatic,Blue,Accident Reported,Germany,4400.0,67441,45999.0,750 I
Chevrolet,2016,Gasoline,Automatic,Black,Clean,USA,6200.0,263932,21500.0,Camaro 2Ss
Ford,2013,Hybrid,Automatic,Blue,Clean,USA,2000.0,260605,7945.0,Fusion Hybrid
Hyundai,2022,Gasoline,Automatic,Other,Clean,South Korea,2500.0,36740,34580.0,Santa Cruz
Lexus,2023,Gasoline,Automatic,White,Clean,Japan,2400.0,8824,59950.0,Rx 350
Land,2020,Gasoline,Automatic,Gray,Accident Reported,UK,2000.0,75464,31000.0,Rover Range
Chevrolet,2019,Gasoline,Automatic,Blue,Accident Reported,USA,5300.0,115872,39000.0,Suburban Lt
Chevrolet,2021,Gasoline,Automatic,White,Accident Reported,USA,3600.0,28968,30000.0,Camaro 1Lt
Jeep,2021,Gasoline,Automatic,Other,Clean,USA,3600.0,49294,39998.0,Gladiator Freedom
GMC,2023,Gasoline,Automatic,White,Clean,USA,6200.0,16058,93999.0,Yukon Denali
Ford,2018,Gasoline,Manual,Blue,Accident Reported,USA,5200.0,29773,77999.0,Shelby Gt350R
Cadillac,2021,Gasoline,Automatic,Other,Clean,USA,6200.0,117229,79990.0,Escalade Luxury
Buick,2017,Gasoline,Automatic,Black,Clean,USA,3600.0,108630,20000.0,Lacrosse
Mercedes-Benz,2017,Gasoline,Automatic,Gray,Clean,Germany,2000.0,59385,28500.0,E-Class E
Chevrolet,2017,Flex Fuel,Automatic,Silver,Accident Reported,USA,5300.0,99328,39998.0,Tahoe Lt
Kia,2022,Gasoline,Automatic,White,Clean,South Korea,3800.0,57836,43329.0,Telluride Ex
Toyota,2023,Hybrid,Automatic,Black,Clean,Japan,3400.0,17297,63100.0,Tundra Hybrid
Nissan,2018,Gasoline,Automatic,White,Accident Reported,Japan,5600.0,174140,26498.0,Armada Platinum
Land,2020,Diesel,Automatic,Other,Clean,UK,3000.0,52633,46598.0,Rover Discovery
Kia,2020,Gasoline,Automatic,Other,Clean,South Korea,3800.0,119133,32913.0,Telluride S
Lexus,2020,Gasoline,Automatic,White,Clean,Japan,3500.0,39672,45950.0,Gs 350
BMW,2022,Hybrid,Automatic,Gray,Clean,Germany,3000.0,20921,69000.0,X6 Xdrive40I
Chevrolet,2015,Diesel,Automatic,Black,Clean,USA,6600.0,124724,54000.0,Silverado 3500
Maserati,2007,Gasoline,Automatic,Black,Accident Reported,Italy,4200.0,131966,7999.0,Quattroporte Gt
Ford,2021,Gasoline,Automatic,Gray,Clean,USA,3500.0,48007,55329.0,Expedition
Kia,2019,Gasoline,Automatic,White,Clean,South Korea,2400.0,100841,16500.0,Optima Lx
Land,2018,Gasoline,Automatic,Silver,Clean,UK,5000.0,90133,59000.0,Rover Range
Lexus,2021,Hybrid,Automatic,Beige,Clean,Japan,3500.0,50477,52998.0,Rx 450H
Lincoln,2004,Gasoline,Automatic,Black,Clean,USA,4600.0,44418,14900.0,Town Car
Honda,2012,Gasoline,Manual,White,Clean,Japan,2400.0,76033,19600.0,Civic Si
Lexus,2017,Hybrid,Automatic,White,Clean,Japan,3500.0,119007,31990.0,Rx 450H
RAM,2019,Flex Fuel,Automatic,Black,Clean,USA,3600.0,59155,31953.0,1500 Classic
Audi,2023,Gasoline,Automatic,Gray,Clean,Germany,2500.0,3058,78900.0,Rs 3
Hyundai,2014,Gasoline,Manual,Black,Accident Reported,South Korea,3800.0,83782,15000.0,Genesis Coupe
Porsche,2008,Gasoline,Manual,Silver,Clean,Germany,3400.0,93342,41500.0,Boxster Rs
Ford,2010,Diesel,Manual,Other,Clean,USA,6400.0,84082,26095.0,F-250 Xlt
Kia,2016,Gasoline,Automatic,White,Clean,South Korea,2000.0,103464,16999.0,Sorento Ex
Nissan,2009,Gasoline,Manual,Silver,Clean,Japan,3700.0,60350,21500.0,370Z Touring
Genesis,2023,Gasoline,Automatic,White,Clean,South Korea,2000.0,3413,40750.0,G70
